SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1560.00,1580.15,1541.45,1550.35,1550.00,1566.70,795,26262,41155983.00,
500003,AEGIS LOGIS ,A ,Q,224.00,224.20,220.20,221.65,221.65,220.15,197,8276,1833960.00,
500008,AMAR RAJA BA,A ,Q,630.00,641.00,629.20,638.90,638.90,630.60,484,13751,8761283.00,
500009,A.SARABHAI  ,X ,Q,13.30,13.90,12.82,12.93,12.93,13.75,86,22559,297440.00,
500010,HDFC        ,A ,Q,2202.20,2202.95,2182.30,2190.35,2190.35,2196.50,1563,30186,66201645.00,
500012,ANDHRA PETRO,X ,Q,56.70,57.95,56.10,57.35,57.35,55.90,910,86513,4942673.00,
500013,ANSAL INFRAS,B ,Q,6.80,6.90,5.82,5.97,5.95,6.94,321,82144,500326.00,
500014,APPLE FINANC,XT,Q,1.43,1.50,1.40,1.50,1.50,1.43,10,4481,6330.00,
500016,ARUNAHTEL   ,XT,Q,6.75,6.75,6.75,6.75,6.75,7.10,4,2544,17172.00,
500020,BOM DYEING  ,A ,Q,122.70,123.80,119.05,120.00,120.00,122.65,1816,169230,20516240.00,
500024,ASSAMCO     ,T ,Q,1.45,1.45,1.34,1.40,1.44,1.41,46,44594,61310.00,
500027,ATUL LTD.   ,A ,Q,4064.65,4147.00,4061.55,4084.15,4081.00,4042.10,294,776,3179776.00,
500028,ATV PROJECTS,XT,Q,4.00,4.04,3.84,4.03,4.04,4.04,7,1743,6970.00,
500029,AUTOLITE(I) ,Z ,Q,28.55,28.70,28.55,28.60,28.60,30.00,6,707,20224.00,
500031,BAJAJ ELECT.,A ,Q,518.50,518.50,499.50,509.35,509.35,512.05,394,6102,3102522.00,
500032,BAJAJHIND   ,B ,Q,8.61,8.75,8.47,8.72,8.70,8.65,97,63861,553374.00,
500033,FORCE MOTR  ,A ,Q,1503.00,1514.00,1489.00,1496.50,1496.50,1498.20,523,5240,7845508.00,
500034,BAJFINANCE  ,A ,Q,3522.00,3564.00,3511.75,3547.50,3550.00,3520.90,3116,56277,199450899.00,
500038,BALRAM.CHINI,A ,Q,156.00,156.85,153.60,156.05,156.05,154.90,717,66855,10403132.00,
500039,BANCO PROD. ,B ,Q,134.05,135.75,133.50,133.65,133.65,134.05,58,2595,347678.00,
500040,CENTURY TEXT,A ,Q,996.00,996.00,979.20,989.75,990.20,990.30,793,28110,27811884.00,
500041,BANNARI AMAN,B ,Q,1470.00,1470.00,1470.00,1470.00,1470.00,1450.05,1,1,1470.00,
500042,BASF INDIA  ,A ,Q,1359.95,1419.00,1347.45,1386.20,1389.00,1336.40,524,3028,4212596.00,
500043,BATA INDIA  ,A ,Q,1423.00,1428.85,1410.00,1420.65,1420.65,1422.20,1849,68496,97182617.00,
500048,BEML LTD    ,A ,Q,959.80,962.10,942.65,957.20,956.00,950.60,1344,50118,47782058.00,
500049,BHARAT ELECT,A ,Q,108.00,111.00,107.60,110.40,110.40,107.60,3213,512406,56275512.00,
500052,BHANSALI ENG,B ,Q,68.30,69.00,66.60,67.35,67.00,68.10,934,100344,6763239.00,
500055,TATASTLBSL  ,B ,Q,30.00,30.20,28.90,29.85,29.85,29.65,249,66965,2001093.00,
500058,BIHAR SPONGE,XT,Q,1.02,1.03,0.98,0.98,0.98,1.03,5,11300,11572.00,
500059,BINANI IND. ,Z ,Q,22.65,22.65,22.55,22.55,22.55,23.70,44,8780,197989.00,
500060,BIRLACABLE  ,B ,Q,101.80,103.70,99.85,103.25,103.25,98.30,237,15401,1568901.00,
500067,BLUE STAR   ,A ,Q,809.00,809.00,793.50,796.00,799.80,801.85,530,3104,2492160.00,
500069,BNK CAPITAL ,X ,Q,88.50,88.50,88.50,88.50,88.50,86.00,4,565,50002.00,
500074,BPL LTD.    ,B ,Q,23.20,24.55,22.80,24.05,24.05,23.25,384,31419,746883.00,
500078,OAL         ,X ,Q,207.00,215.55,205.00,210.35,211.00,210.85,39,1608,334758.00,
500083,CENTURY EXT ,B ,Q,4.22,4.55,4.06,4.32,4.31,4.02,47,14883,64290.00,
